,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff,
,Test matches,2013-2016,4,164,81*,23.42,0,2,1/48,82.00,0,1,0,-58.57,
,One-Day Internationals,2009-2021,16,117,22,9.00,0,8,3/32,43.37,0,6,0,-34.37,
,Twenty20 Internationals,2009-2021,24,355,62*,20.88,0,7,3/22,27.71,0,6,0,-6.83,
,
,v Bangladesh,2017-2021,6,40,30,8.00,0,1,1/30,35.00,0,2,0,-26.99,
,v England,2014-2017,3,21,17,10.50,0,3,2/35,25.00,0,0,0,-14.49,
,v India,2009-2020,13,341,81*,28.41,0,7,3/22,46.57,0,3,0,-18.15,
,v New Zealand,2009-2017,2,19,18,9.50,0,0,-,-,0,2,0,-,
,v South Africa,2014-2014,1,-,-,-,-,1,1/15,15.00,0,1,0,-,
,v Sri Lanka,2013-2017,11,108,56*,13.50,0,5,3/32,45.80,0,3,0,-32.29,
,v West Indies,2021-2021,8,107,33,13.37,0,-,-,-,-,2,0,-,
,
,in Australia,2009-2020,14,179,56*,22.37,0,10,3/22,22.80,0,2,0,-0.42,
,in Bangladesh,2021-2021,5,40,30,8.00,0,0,-,-,0,2,0,-,
,in England,2017-2017,3,35,18,17.50,0,1,1/30,61.00,0,2,0,-43.49,
,in India,2009-2017,8,256,81*,28.44,0,3,1/48,84.66,0,2,0,-56.22,
,in South Africa,2014-2014,1,-,-,-,-,1,1/15,15.00,0,1,0,-,
,in Sri Lanka,2016-2016,5,19,6,3.80,0,2,1/24,71.00,0,2,0,-67.19,
,in West Indies,2021-2021,8,107,33,13.37,0,-,-,-,-,2,0,-,
,
,in Africa,2014-2014,1,-,-,-,-,1,1/15,15.00,0,1,0,-,
,in Americas,2021-2021,8,107,33,13.37,0,-,-,-,-,2,0,-,
,in Asia,2009-2021,18,315,81*,16.57,0,5,1/24,80.20,0,6,0,-63.62,
,in Europe,2017-2017,3,35,18,17.50,0,1,1/30,61.00,0,2,0,-43.49,
,in Oceania,2009-2020,14,179,56*,22.37,0,10,3/22,22.80,0,2,0,-0.42,
,
,home,2009-2020,14,179,56*,22.37,0,10,3/22,22.80,0,2,0,-0.42,
,away,2009-2021,28,439,81*,15.67,0,6,1/15,70.33,0,9,0,-54.65,
,neutral,2017-2017,2,18,18,18.00,0,1,1/30,55.00,0,2,0,-36.99,
,
,year 2009,,3,19,12,6.33,0,1,1/51,84.00,0,0,0,-77.66,
,year 2013,,7,182,81*,22.75,0,5,3/32,41.80,0,2,0,-19.04,
